may-24;105813;148977;Espanya
abr-24;102245;144223;Espanya
mar-24;103572;140560;Espanya
feb-24;89789;125183;Espanya
ene-24;76102;108146;Espanya
dic-23;88851;120319;Espanya
nov-23;86877;124646;Espanya
oct-23;90602;131419;Espanya
sep-23;70912;104805;Espanya
ago-23;62729;92700;Espanya
jul-23;89339;128990;Espanya
jun-23;109217;152973;Espanya
may-23;99989;140416;Espanya
abr-23;81258;113373;Espanya
mar-23;108503;147161;Espanya
feb-23;81397;110911;Espanya
ene-23;70755;99879;Espanya
dic-22;81006;111239;Espanya
nov-22;81626;113112;Espanya
oct-22;74271;104833;Espanya
sep-22;75945;106467;Espanya
ago-22;60723;85208;Espanya
jul-22;82938;114946;Espanya
jun-22;97929;134129;Espanya
may-22;93583;130215;Espanya
abr-22;76806;105952;Espanya
mar-22;69911;99719;Espanya
feb-22;70396;97439;Espanya
ene-22;49787;73176;Espanya
dic-21;96289;124736;Espanya
nov-21;76529;105816;Espanya
oct-21;67899;97754;Espanya
sep-21;67792;98297;Espanya
ago-21;54561;77827;Espanya
jul-21;92171;127872;Espanya
jun-21;103467;142691;Espanya
may-21;103086;139034;Espanya
abr-21;85674;119994;Espanya
mar-21;94013;131078;Espanya
feb-21;64843;92208;Espanya
ene-21;47339;68420;Espanya
dic-20;115580;147462;Espanya
nov-20;84472;114529;Espanya
oct-20;83836;117524;Espanya
sep-20;79365;112649;Espanya
ago-20;74777;102914;Espanya
jul-20;127844;174835;Espanya
jun-20;90596;130392;Espanya
may-20;36683;56584;Espanya
abr-20;4764;8259;Espanya
mar-20;41826;58715;Espanya
feb-20;104396;135050;Espanya
ene-20;95041;124364;Espanya
dic-19;114131;142991;Espanya
nov-19;102905;135777;Espanya
oct-19;105084;142969;Espanya
sep-19;90307;121029;Espanya
ago-19;82549;111285;Espanya
jul-19;127485;169516;Espanya
jun-19;140445;181904;Espanya
may-19;137091;177883;Espanya
abr-19;130254;166658;Espanya
mar-19;133405;170148;Espanya
feb-19;109343;139567;Espanya
ene-19;102562;133546;Espanya
dic-18;106941;136497;Espanya
nov-18;100130;130949;Espanya
